date,quarter,month,year,split,avg_salary,count_in_day,из_нежилых_Промышленные_здания_quarter,Полный_плановый_объем_потребления_электроэнергии_month,Предложения_новостроек_month,Всего_введено_зданий_quarter,"Жилые_здания,_жилые_помещения_и_т.п._quarter",Ипотека_всего_в_деньгах_month,Средства_на_счетах_эскроу_в_рублях_накопительный_итог_month,Средства_на_счетах_эскроу_в_рублях_ежемесячные_изменения_month,Ипотека_по_ДДУ_в_деньгах_month,Ипотека_по_ДДУ_в_количестве_выданных_кредитов_month,Ипотека_всего_в_количестве_выданных_кредитов_month,Коммунальное_хозяйство_-_всего_накопительный_итог_на_начало_месяца_-_собирается_month,"из_них_Закупка_товаров,_работ_и_услуг_для_обеспечения_государственных_муниципальных_нужд_month",из_них_Капитальные_вложения_в_объекты_государственной_муниципальной_собственности_month,из_них_Иные_бюджетные_ассигнования_собирается_month,Оценка_объема_потребеления_безина_quarter,Оценка_объема_потребеления_ДТ_quarter,Цена_на_95_бензин_розничные_цены_month,Цена_на_92_бензин_розничные_цены_month,Цена_на_ДТ_розничные_цены_month,Розничная_продажа_бензинов_автомобильных_в_деньгах;_накопительный_итог_quarter,Розничная_продажа_Дизельное_топливо_в_деньгах;_накопительный_итог_quarter,автоуслуги_по_тратам_потребителей_-_Тинькофф_индекс_month,топливо_потратам_потребителей-Тинькофф_индекс_month,Аренда_складской_недвижимости_month,Аренда_торговой_недвижимости_month,Аренда_офисной_недвижимости_month,Продажа_складской_недвижимости_month,Продажа_торговой_недвижимости_month,Продажа_офисной_недвижимости_month,из_нежилых_коммерческие_здания_quarter,из_коммерческих_торговые_площади_quarter,Изменение_активности_МСП_по_регионам_Сбериндекс_month,Индекс_потребительской_активности_-_Сбериндекс_month,дом_и_ремонт_по_тратам_потребителей_-_Тинькофф_индекс_month,медуслуги_по_тратам_потребителей-Тинькофф_индекс_month,рестораны_по_тратам_потребителей-Тинькофф_индекс_month,Доля_онлайн_платежей_в_безналичных_тратах_населения_month,Кол-во_выпущенных_специалистов_сварочного_производства_и_сварщиков_year
2018-02-16,1,2,2018,16,33000.0,1,11.3,,,682.3,621.9,3790,,,1276,687,2223,399092221.33000004,6087349.25,377612400.24,15328871.61,402.107958782148,148.93217476560142,39.29028614457867,42.51658119658124,40.13608033240973,16430294.5,5947027,,,,,,,,,23.8,10.5,,,,,,,773.0
2018-07-06,3,7,2018,6,45000.0,1,3.5,,,725.8000000000002,596.9000000000002,5203,,,1562,840,2905,710286266.2800002,75344446.79999998,496317443.98,135190299.22999996,471.36593154690087,157.27182919960265,43.02506261180718,46.15608695652195,43.89831758034073,20891125.799999997,6870211.300000001,,,,,,,,,85.40000000000002,9.3,,,,,,,773.0
2018-11-29,4,11,2018,29,37000.0,18,90.2,,,1302.9999999999998,1128.7999999999997,5691,,,1595,874,3135,791061000.3800001,167232853.02999997,563492919.4499998,26382425.120000005,413.1321096744751,159.38234001654777,42.51820175438608,45.75106100795777,43.45692307692349,18239742.5,6965238.699999999,,,242.25,1093.45,646.2,15512.15,82605.8,57693.9,28.499999999999996,15.000000000000004,,,,,,,773.0
2018-12-19,4,12,2018,19,37000.0,18,90.2,,,1302.9999999999998,1128.7999999999997,6678,,,1699,926,3558,3778302556.1500006,653236062.1300001,2244616785.41,886595240.1899999,413.1321096744751,159.38234001654777,42.56029250457082,45.89582441113511,44.35903654485101,18239742.5,6965238.699999999,,,243.05,883.2,594.25,35145.5,80028.45,60155.6,28.499999999999996,15.000000000000004,,,,,,,773.0
2019-03-11,1,3,2019,11,37000.0,10,7.7,,13982,807.3,739.5,4865,,,1774,899,2569,298610329.44,12533362.149999999,258939472.6,27014362.45,400.75899111860866,144.6585532281879,42.98751724137934,44.40348258706499,46.2561263736265,17676855.8,6694437.1,107.54838709677419,96.70967741935483,249.75,3996.7,4585.65,49367.2,72476.3,55244.6,25.6,14.3,,,87.48387096774194,96.45161290322581,94.61290322580645,15.89483871,882.0
2019-03-13,1,3,2019,13,32000.0,1,7.7,,13982,807.3,739.5,4865,,,1774,899,2569,298610329.44,12533362.149999999,258939472.6,27014362.45,400.75899111860866,144.6585532281879,42.98751724137934,44.40348258706499,46.2561263736265,17676855.8,6694437.1,107.54838709677419,96.70967741935483,249.75,3996.7,4585.65,49367.2,72476.3,55244.6,25.6,14.3,,,87.48387096774194,96.45161290322581,94.61290322580645,15.89483871,882.0
2019-04-10,2,4,2019,10,34500.0,1,3.8,,14490,932.4000000000001,837.2,5033,,,1771,932,2739,727439131.78,43473363.43,607090831.46,75459597.93,338.7356192785426,116.78587475080214,43.02667115903014,44.31407407407433,46.44131045241774,14836793.5,5446811.800000001,119.46666666666667,99.13333333333334,250.25,4162.4,3809.95,47708.65,73131.85,54995.25,49.800000000000004,12.3,,,91.4,100,88.63333333333334,15.35666667,882.0
2019-05-22,2,5,2019,22,70000.0,2,3.8,,15561,932.4000000000001,837.2,3835,,,1413,704,2073,292770796.90999997,8439925.43,239071521.55000007,44666292.92,338.7356192785426,116.78587475080214,43.13845018450195,44.38289782244571,46.63081521739121,14836793.5,5446811.800000001,94.6774193548387,100.16129032258064,247.8,718.1333,630.4667,31329.77,70188.7,60933.5,49.800000000000004,12.3,,,93.70967741935483,95.96774193548387,107.03225806451613,14.89935484,882.0
2019-09-04,3,9,2019,4,32000.0,1,8.5,,11319,979.3,850.2,5362,658,285,1832,909,2836,736755027.2600002,141081415.70999998,476726032.8799999,117829355.08000004,481.45512469179147,169.71464525385508,43.43888888888851,44.96622296172993,47.09074446680111,21235530.8,7980933.299999999,99.76666666666667,101.26666666666667,251.785,717.2,643.35,35805.29,54528.9,65839.85,28.599999999999994,12.600000000000001,,,106.76666666666667,97.73333333333333,109.8,15.211,882.0
2019-09-17,3,9,2019,17,34000.0,1,8.5,,11319,979.3,850.2,5362,658,285,1832,909,2836,736755027.2600002,141081415.70999998,476726032.8799999,117829355.08000004,481.45512469179147,169.71464525385508,43.43888888888851,44.96622296172993,47.09074446680111,21235530.8,7980933.299999999,99.76666666666667,101.26666666666667,251.785,717.2,643.35,35805.29,54528.9,65839.85,28.599999999999994,12.600000000000001,,,106.76666666666667,97.73333333333333,109.8,15.211,882.0
2019-10-29,4,10,2019,29,34000.0,30,15.2,,14237,1183.6000000000001,1057.3,5884,1174,516,1858,941,3105,735989340.2400002,206993793.83000004,458951842.2800002,67166560.52999997,398.703777409571,144.4465483742404,43.44787200000053,45.31399688958003,47.07864811133227,17813123.600000005,6809302.499999998,111.64516129032258,102.2258064516129,253.0667,733.4333,638.9333,37457.53,78717.5,64801.73,30.599999999999994,16.9,,,107.6774193548387,112.35483870967742,100.54838709677419,15.30806452,882.0
2019-12-09,4,12,2019,9,39950.0,1,15.2,1677775.5530000003,13801,1183.6000000000001,1057.3,7360,2662,725,1987,977,3782,2708315749.6399994,498505400.8399999,1325900325.1399999,871011306.5699999,398.703777409571,144.4465483742404,43.44609722222261,46.56572528883209,47.21500707213585,17813123.600000005,6809302.499999998,99.2258064516129,98.41935483870968,251.3,760.5,626.3,25368,77917.5,62698.1,30.599999999999994,16.9,,82.29032258064517,127.09677419354838,112.87096774193549,90.2258064516129,13.974,882.0
2019-12-12,4,12,2019,12,36000.0,1,15.2,1677775.5530000003,13801,1183.6000000000001,1057.3,7360,2662,725,1987,977,3782,2708315749.6399994,498505400.8399999,1325900325.1399999,871011306.5699999,398.703777409571,144.4465483742404,43.44609722222261,46.56572528883209,47.21500707213585,17813123.600000005,6809302.499999998,99.2258064516129,98.41935483870968,251.3,760.5,626.3,25368,77917.5,62698.1,30.599999999999994,16.9,,82.29032258064517,127.09677419354838,112.87096774193549,90.2258064516129,13.974,882.0
2019-12-22,4,12,2019,22,34000.0,27,15.2,1677775.5530000003,13801,1183.6000000000001,1057.3,7360,2662,725,1987,977,3782,2708315749.6399994,498505400.8399999,1325900325.1399999,871011306.5699999,398.703777409571,144.4465483742404,43.44609722222261,46.56572528883209,47.21500707213585,17813123.600000005,6809302.499999998,99.2258064516129,98.41935483870968,251.3,760.5,626.3,25368,77917.5,62698.1,30.599999999999994,16.9,,82.29032258064517,127.09677419354838,112.87096774193549,90.2258064516129,13.974,882.0
2020-01-14,1,1,2020,14,33000.0,6,7,1620820.829000001,12785,755,691.4,4096,3471,809,1444,701,2116,3530911.86,1940250.62,54052.06,1536609.18,388.9986997377894,146.9789456136134,43.50134545454577,47.28726804123694,47.18624999999984,17669321.7,6902848.1,82.06451612903226,89.93548387096774,252.25,78347.2,623.75,22819.25,78347.2,58752.6,24.3,11.3,,76.72413793103448,95.45161290322581,95.51612903225806,90.19354838709677,15.57548387,824.0
2020-01-31,1,1,2020,31,34000.0,90,7,1620820.829000001,12785,755,691.4,4096,3471,809,1444,701,2116,3530911.86,1940250.62,54052.06,1536609.18,388.9986997377894,146.9789456136134,43.50134545454577,47.28726804123694,47.18624999999984,17669321.7,6902848.1,82.06451612903226,89.93548387096774,252.25,78347.2,623.75,22819.25,78347.2,58752.6,24.3,11.3,,76.72413793103448,95.45161290322581,95.51612903225806,90.19354838709677,15.57548387,824.0
2020-02-06,1,2,2020,6,34000.0,11,7,1511474.115999999,15241,755,691.4,5518,4142,671,1874,873,2743,51406059.24,13288775.05,30466956.84,7643770.76,388.9986997377894,146.9789456136134,43.57870370370382,47.31871046228689,47.19980952380914,17669321.7,6902848.1,83.14285714285714,94.28571428571429,244.15,80549.55,619.35,21638.4,80549.55,55500.85,24.3,11.3,,76.35483870967742,95.78571428571429,119.64285714285714,90.53571428571429,15.94964286,824.0
2020-02-23,1,2,2020,23,33000.0,31,7,1511474.115999999,15241,755,691.4,5518,4142,671,1874,873,2743,51406059.24,13288775.05,30466956.84,7643770.76,388.9986997377894,146.9789456136134,43.57870370370382,47.31871046228689,47.19980952380914,17669321.7,6902848.1,83.14285714285714,94.28571428571429,244.15,80549.55,619.35,21638.4,80549.55,55500.85,24.3,11.3,,76.35483870967742,95.78571428571429,119.64285714285714,90.53571428571429,15.94964286,824.0
2020-02-29,1,2,2020,29,34000.0,8,7,1511474.115999999,15241,755,691.4,5518,4142,671,1874,873,2743,51406059.24,13288775.05,30466956.84,7643770.76,388.9986997377894,146.9789456136134,43.57870370370382,47.31871046228689,47.19980952380914,17669321.7,6902848.1,83.14285714285714,94.28571428571429,244.15,80549.55,619.35,21638.4,80549.55,55500.85,24.3,11.3,,76.35483870967742,95.78571428571429,119.64285714285714,90.53571428571429,15.94964286,824.0
